addr, bit0,  bit1,  bit2,  bit3,  bit4,  bit5,  bit6,  bit7
 121,  1360,  1150,  1500,  1490,  1480,  1490,  1080,  1490
 122,  1470,  1470,  1350,  1350,  1370,  1420,  1510,  1480
 123,  1470,  1480,  1490,  1490,  1470,  1480,  1510,  1490
 124,  1330,  1360,  1360,  1360,  1360,  1310,  1510,  1470
 125,  1470,  1060,  1500,  1480,  1480,  1480,  1390,  1360
 126,  1330,  1060,  1390,  1350,  1480,  1320,  1500,  1360
 127,  1280,  1480,  1360,  1490,  1400,  1490,  1480,  1270
 128,  1270,  1400,  1480,  1480,  1480,  1470,  1410,  1480
 129,  1470,  1470,  1370,  1360,  1390,  1400,  1510,  1340
 130,  1470,  1480,  1470,  1480,  1360,  1320,  1490,  1500
 131,  1400,  1380,  1360,  1360,  1490,  1480,  1510,  1490
 132,  1480,  1400,  1480,  1310,  1370,  1480,  1400,  1350
 133,  1430,  1480,  1370,  1070,  1470,  1320,  1500,  1340
 134,  1430,  1470,  1340,  1070,  1480,  1480,  1400,  1480
 135,  1360,  1380,  1480,  1490,  1390,  1480,  1390,  1400
 136,  1470,  1300,  1360,  1480,  1480,  1430,  1500,  1220
 137,  1470,  1460,  1500,  1480,  1480,  1330,  1460,  1420
 138,  1470,  1470,  1400,  1350,  1480,  1470,  1300,  1370
 139,  1480,  1480,  1490,  1480,  1490,  1480,  1500,  1490
 140,  1330,  1370,  1360,  1500,  1360,  1320,  1400,  1480
 141,  1470,  1470,  1490,  1350,  1470,  1490,  1510,  1360
 142,  1480,  1390,  1370,  1470,  1480,  1320,  1500,  1480
 143,  1380,  1480,  1500,  1350,  1380,  1490,  1380,  1330
 144,  1330,  1400,  1500,  1450,  1480,  1460,  1510,  1370
 145,  1470,  1470,  1390,  1240,  1390,  1390,  1390,  1360
 146,  1430,  1390,  1290,  1350,  1460,  1450,  1500,  1460
 147,  1390,  1480,  1490,  1490,  1390,  1470,  1390,  1410
 148,  1460,  1460,  1360,  1450,  1450,  1440,  1500,  1480
 149,  1480,  1480,  1490,  1490,  1490,  1330,  1510,  1480
 150,  1460,  1440,  1500,  1460,  1460,  1460,  1520,  1370
 151,  1360,  1480,  1500,  1510,  1430,  1400,  1510,  1490
 152,  1330,  1400,  1510,  1460,  1460,  1460,  1500,  1370
 153,  1480,  1470,  1450,  1350,  1400,  1410,  1390,  1490
 154,  1460,  1450,  1370,  1500,  1400,  1390,  1500,  1480
 155,  1360,  1480,  1500,  1350,  1360,  1480,  1510,  1480
 156,  1480,  1390,  1370,  1500,  1390,  1480,  1500,  1360
 157,  1370,  1480,  1480,  1360,  1500,  1390,  1510,  1340
 158,  1450,  1400,  1470,  1460,  1450,  1460,  1480,  1450
 159,  1360,  1480,  1480,  1180,  1480,  1480,  1510,  1420
 160,  1470,  1490,  1490,  1480,  1360,  1480,  1400,  1480
 161,  1360,  1370,  1480,  1490,  1490,  1480,  1500,  1470
 162,  1470,  1390,  1480,  1350,  1470,  1440,  1500,  1360
 163,  1300,  1480,  1360,  1500,  1480,  1480,  1510,  1470
 164,  1480,  1390,  1500,  1480,  1480,  1470,  1520,  1480
 165,  1480,  1480,  1490,  1480,  1500,  1480,  1470,  1480
 166,  1480,  1480,  1380,  1500,  1500,  1500,  1500,  1480
 167,  1440,  1380,  1510,  1490,  1490,  1490,  1510,  1490
 168,  1460,  1480,  1410,  1360,  1400,  1320,  1400,  1480
 169,  1480,  1470,  1360,  1470,  1470,  1480,  1500,  1360
 170,  1410,  1480,  1500,  1480,  1480,  1390,  1500,  1480
 171,  1480,  1470,  1490,  1160,  1400,  1490,  1510,  1480
 172,  1420,  1470,  1480,  1350,  1490,  1470,  1500,  1480
 173,  1370,  1470,  1360,  1490,  1400,  1490,  1500,  1480
 174,  1270,  1470,  1500,  1350,  1470,  1480,  1490,  1370
 175,  1470,  1490,  1360,  1490,  1400,  1400,  1500,  1410
 176,  1460,  1380,  1490,  1350,  1470,  1460,  1510,  1470
 177,  1470,  1470,  1370,  1480,  1470,  1480,  1500,  1400
 178,  1460,  1470,  1500,  1490,  1480,  1490,  1500,  1470
 179,  1470,  1470,  1490,  1490,  1470,  1490,  1500,  1490
 180,  1460,  1490,  1490,  1500,  1470,  1490,  1490,  1490
 181,  1390,  1480,  1390,  1500,  1330,  1330,  1510,  1490
 182,  1470,  1390,  1490,  1360,  1500,  1200,  1490,  1370
 183,  1360,  1490,  1360,  1490,  1390,  1480,  1490,  1480
 184,  1460,  1390,  1490,  1370,  1390,  1460,  1390,  1460
 185,  1470,  1480,  1490,  1470,  1480,  1380,  1500,  1360
 186,  1470,  1490,  1490,  1490,  1360,  1320,  1500,  1490
 187,  1370,  1380,  1360,  1350,  1500,  1490,  1510,  1500
 188,  1480,  1390,  1380,  1460,  1490,  1470,  1490,  1470
 189,  1410,  1470,  1490,  1350,  1430,  1490,  1500,  1340
 190,  1410,  1460,  1380,  1490,  1460,  1470,  1500,  1460
 191,  1360,  1080,  1480,  1360,  1470,  1490,  1470,  1490
 192,  1470,  1400,  1470,  1470,  1400,  1390,  1270,  1460
 193,  1370,  1380,  1490,  1500,  1470,  1470,  1510,  1360
 194,  1470,  1450,  1470,  1360,  1460,  1460,  1380,  1480
 195,  1430,  1380,  1470,  1480,  1460,  1460,  1490,  1470
 196,  1460,  1490,  1360,  1490,  1470,  1480,  1510,  1480
 197,  1370,  1160,  1490,  1490,  1480,  1490,  1510,  1450
 198,  1480,  1390,  1490,  1480,  1480,  1480,  1510,  1470
 199,  1470,  1480,  1480,  1490,  1390,  1480,  1510,  1310
 200,  1430,  1470,  1480,  1360,  1450,  1460,  1490,  1470
 201,  1480,  1380,  1490,  1480,  1390,  1520,  1510,  1470
 202,  1460,  1250,  1360,  1490,  1470,  1480,  1490,  1200
 203,  1360,  1470,  1490,  1350,  1410,  1470,  1510,  1470
 204,  1460,  1450,  1490,  1350,  1480,  1430,  1300,  1440
 205,  1470,  1470,  1490,  1470,  1390,  1480,  1500,  1360
 206,  1470,  1480,  1370,  1470,  1440,  1460,  1510,  1490
 207,  1360,  1480,  1490,  1490,  1490,  1490,  1510,  1480
 208,  1480,  1400,  1360,  1500,  1360,  1460,  1490,  1480
 209,  1370,  1480,  1500,  1360,  1480,  1470,  1240,  1440
 210,  1470,  1330,  1360,  1480,  1470,  1480,  1240,  1480
 211,  1480,  1380,  1480,  1490,  1490,  1400,  1510,  1360
 212,  1330,  1480,  1360,  1480,  1480,  1470,  1500,  1480
 213,  1480,  1490,  1490,  1490,  1390,  1390,  1380,  1470
 214,  1480,  1390,  1480,  1350,  1450,  1380,  1500,  1360
 215,  1360,  1480,  1360,  1490,  1480,  1490,  1510,  1480
 216,  1470,  1480,  1480,  1490,  1490,  1480,  1500,  1490
 217,  1370,  1480,  1360,  1500,  1480,  1490,  1500,  1400
 218,  1470,  1480,  1500,  1420,  1490,  1380,  1490,  1370
 219,  1480,  1480,  1490,  1500,  1490,  1490,  1520,  1420
 220,  1430,  1400,  1360,  1490,  1480,  1480,  1510,  1480
 221,  1480,  1480,  1490,  1500,  1470,  1500,  1470,  1360
