addr, bit0,  bit1,  bit2,  bit3,  bit4,  bit5,  bit6,  bit7
 118,  1410,  1420,  1410,  1420,  1430,  1410,  1420,  1410
 119,  1410,  1410,  1410,  1410,  1430,  1380,  1240,  1420
 120,  1410,  1360,  1380,  1370,     0,  1380,  1400,  1370
 121,  1370,  1160,  1420,  1420,  1420,  1410,  1260,  1420
 122,  1410,  1410,  1400,  1360,  1360,  1370,  1420,  1420
 123,  1410,  1420,  1410,  1420,  1430,  1410,  1420,  1420
 124,  1370,  1350,  1380,  1370,  1360,  1360,  1420,  1410
 125,  1410,  1120,  1410,  1420,  1440,  1410,  1400,  1370
 126,  1370,  1110,  1070,  1360,  1450,  1370,  1420,  1360
 127,   930,  1430,  1400,  1420,  1420,  1420,  1390,  1180
 128,   930,  1360,  1410,  1420,  1430,  1400,  1410,  1410
 129,  1400,  1420,  1400,  1370,  1350,  1380,  1420,  1360
 130,  1410,  1420,  1410,  1430,  1360,  1370,  1420,  1420
 131,  1370,  1360,  1380,  1370,  1440,  1410,  1420,  1420
 132,  1400,  1350,  1410,  1140,  1370,  1410,  1380,  1360
 133,  1220,  1420,  1390,  1120,  1430,  1380,  1420,  1360
 134,  1180,  1420,  1300,  1030,  1430,  1410,  1380,  1420
 135,  1360,  1360,  1410,  1420,  1410,  1410,  1400,  1370
 136,  1410,  1130,  1390,  1420,  1470,  1370,  1430,  1200
 137,  1410,  1420,  1420,  1420,  1430,  1370,  1410,  1140
 138,  1410,  1420,  1380,  1370,  1430,  1410,  1280,  1380
 139,  1410,  1420,  1410,  1420,  1430,  1420,  1430,  1420
 140,  1370,  1360,  1380,  1430,  1360,  1370,  1400,  1420
 141,  1400,  1420,  1420,  1360,  1420,  1420,  1430,  1360
 142,  1410,  1360,  1380,  1430,  1440,  1370,  1420,  1420
 143,  1230,  1420,  1420,  1370,  1350,  1420,  1400,  1170
 144,  1360,  1360,  1410,  1420,  1450,  1410,  1430,  1360
 145,  1410,  1420,  1410,  1150,  1440,  1390,  1400,  1370
 146,  1210,  1360,  1340,  1360,  1440,  1410,  1430,  1420
 147,  1380,  1430,  1420,  1430,  1390,  1410,  1400,  1380
 148,  1410,  1420,  1380,  1420,  1430,  1410,  1420,  1420
 149,  1410,  1420,  1420,  1420,  1440,  1380,  1430,  1420
 150,  1410,  1420,  1410,  1430,  1440,  1410,  1430,  1370
 151,  1360,  1420,  1410,  1430,  1400,  1380,  1430,  1420
 152,  1350,  1360,  1410,  1420,  1430,  1400,  1420,  1370
 153,  1410,  1410,  1390,  1350,  1430,  1370,  1400,  1420
 154,  1410,  1420,  1380,  1430,  1400,  1380,  1430,  1420
 155,  1370,  1430,  1420,  1360,  1380,  1410,  1430,  1420
 156,  1410,  1360,  1400,  1430,  1350,  1410,  1420,  1370
 157,  1370,  1420,  1420,  1370,  1430,  1370,  1430,  1360
 158,  1410,  1360,  1410,  1420,  1420,  1410,  1420,  1420
 159,  1370,  1430,  1420,  1150,  1430,  1410,  1430,  1170
 160,  1420,  1430,  1420,  1430,   890,  1410,  1400,  1420
 161,  1360,  1210,  1410,  1430,  1440,  1410,  1420,  1420
 162,  1410,  1360,  1410,  1360,  1450,  1410,  1420,  1370
 163,  1230,  1420,  1400,  1420,  1430,  1410,  1420,  1430
 164,  1410,  1370,  1410,  1420,  1420,  1410,  1420,  1420
 165,  1410,  1420,  1420,  1430,  1440,  1410,  1270,  1420
 166,  1410,  1420,  1380,  1420,  1430,  1410,  1420,  1410
 167,  1370,  1360,  1410,  1420,  1430,  1400,  1420,  1420
 168,  1410,  1420,  1280,  1370,  1380,  1370,  1400,  1420
 169,  1410,  1420,  1400,  1420,  1430,  1410,  1420,  1370
 170,  1370,  1430,  1420,  1420,  1430,  1380,  1420,  1420
 171,  1410,  1420,  1410,  1160,  1420,  1410,  1430,  1420
 172,  1350,  1420,  1420,  1360,  1430,  1410,  1420,  1410
 173,  1360,  1420,  1390,  1430,  1410,  1410,  1420,  1410
 174,  1190,  1420,  1420,  1390,  1440,  1410,  1420,  1380
 175,  1410,  1420,  1410,  1430,  1370,  1380,  1430,  1200
 176,  1400,  1350,  1410,  1370,  1430,  1400,  1420,  1410
 177,  1410,  1420,  1420,  1420,  1420,  1410,  1420,  1370
 178,  1410,  1420,  1410,  1420,  1430,  1410,  1430,  1420
 179,  1400,  1420,  1410,  1420,  1430,  1410,  1420,  1420
 180,  1410,  1420,  1410,  1430,  1450,  1410,  1420,  1420
 181,  1380,  1420,  1390,  1430,     0,  1390,  1420,  1420
 182,  1410,  1360,  1410,  1370,  1450,  1330,  1420,  1360
 183,  1360,  1420,  1390,  1420,  1430,  1410,  1390,  1420
 184,  1410,  1370,  1410,  1360,  1360,  1410,  1400,  1420
 185,  1410,  1420,  1420,  1430,  1430,  1250,  1430,  1360
 186,  1410,  1420,  1410,  1430,  1370,  1380,  1420,  1420
 187,  1370,  1350,  1390,  1370,  1430,  1410,  1420,  1420
 188,  1410,  1360,  1390,  1430,  1460,  1410,  1420,  1420
 189,  1240,  1420,  1410,  1360,  1430,  1410,  1420,  1360
 190,  1190,  1420,  1380,  1430,  1440,  1410,  1430,  1420
 191,  1370,  1180,  1420,  1370,  1440,  1410,  1250,  1420
 192,  1410,  1360,  1410,  1420,  1400,  1380,  1250,  1420
 193,  1370,  1360,  1420,  1420,  1430,  1410,  1430,  1360
 194,  1410,  1420,  1410,  1380,  1420,  1410,  1400,  1430
 195,  1370,  1360,  1410,  1420,  1420,  1410,  1420,  1420
 196,  1410,  1430,  1380,  1430,  1430,  1410,  1420,  1410
 197,  1370,  1220,  1420,  1420,  1430,  1420,  1420,  1160
 198,  1410,  1370,  1410,  1430,  1440,  1410,  1420,  1420
 199,  1410,  1420,  1410,  1430,  1410,  1420,  1420,  1190
 200,  1360,  1410,  1410,  1370,  1440,  1410,  1420,  1410
 201,  1410,  1350,  1410,  1420,  1430,  1410,  1420,  1410
 202,  1410,  1160,  1390,  1420,  1430,  1410,  1420,  1210
 203,  1370,  1420,  1420,  1360,  1410,  1400,  1420,  1420
 204,  1400,  1410,  1420,  1360,  1430,  1410,  1240,  1240
 205,  1410,  1420,  1410,  1420,  1420,  1410,  1420,  1360
 206,  1410,  1430,  1410,  1430,  1420,  1410,  1430,  1420
 207,  1370,  1420,  1420,  1420,  1440,  1410,  1430,  1420
 208,  1410,  1350,  1380,  1430,     0,  1410,  1420,  1420
 209,  1360,  1420,  1420,  1370,  1430,  1410,  1220,  1180
 210,  1410,  1140,  1320,  1430,  1430,  1410,  1210,  1420
 211,  1400,  1350,  1410,  1430,  1430,  1280,  1420,  1360
 212,  1370,  1420,  1390,  1430,  1470,  1410,  1420,  1420
 213,  1410,  1420,  1410,  1430,  1440,  1280,  1270,  1420
 214,  1410,  1360,  1410,  1370,  1460,  1380,  1420,  1360
 215,  1370,  1420,  1380,  1420,  1430,  1410,  1430,  1420
 216,  1410,  1420,  1410,  1420,  1430,  1410,  1430,  1420
 217,  1370,  1420,  1410,  1420,  1430,  1410,  1420,  1360
 218,  1410,  1420,  1410,  1370,  1440,  1370,  1420,  1370
