addr, bit0,  bit1,  bit2,  bit3,  bit4,  bit5,  bit6,  bit7
 162,  1450,  1360,  1450,  1350,  1460,  1430,  1490,  1350
 163,  1040,  1460,  1350,  1460,  1410,  1450,  1480,  1450
 164,  1460,  1360,  1470,  1440,  1430,  1440,  1490,  1450
 165,  1450,  1440,  1470,  1420,  1460,  1450,  1230,  1460
 166,  1460,  1470,  1370,  1460,  1440,  1470,  1490,  1470
 167,  1350,  1360,  1480,  1440,  1430,  1460,  1490,  1460
 168,  1440,  1450,  1220,  1350,  1360,  1310,  1370,  1450
 169,  1460,  1430,  1350,  1420,  1410,  1450,  1480,  1350
 170,  1330,  1450,  1470,  1440,  1430,  1310,  1480,  1460
 171,  1450,  1440,  1460,  1000,   990,  1460,  1490,  1460
 172,  1330,  1440,  1470,  1350,  1450,  1430,  1490,  1450
 173,  1350,  1430,  1360,  1430,  1310,  1460,  1480,  1460
 174,  1000,  1460,  1480,  1350,  1410,  1450,  1480,  1350
 175,  1450,  1460,  1350,  1440,  1310,  1320,  1480,   970
 176,  1440,  1370,  1470,  1350,  1430,  1450,  1480,  1450
 177,  1450,  1450,  1350,  1430,  1440,  1460,  1480,  1350
 178,  1450,  1440,  1470,  1420,  1420,  1460,  1490,  1450
 179,  1450,  1430,  1470,  1460,  1410,  1460,  1480,  1460
 180,  1450,  1460,  1480,  1470,  1430,  1470,  1490,  1460
 181,  1350,  1450,  1350,  1450,  1310,  1320,  1490,  1460
 182,  1440,  1370,  1470,  1350,  1460,   990,  1490,  1350
 183,  1350,  1450,  1350,  1430,  1310,  1450,  1360,  1450
 184,  1440,  1370,  1470,  1350,  1360,  1460,  1370,  1460
 185,  1440,  1450,  1460,  1420,  1420,  1180,  1480,  1350
 186,  1450,  1460,  1470,  1450,  1290,  1310,  1500,  1470
 187,  1360,  1370,  1350,  1350,  1440,  1470,  1480,  1470
 188,  1460,  1370,  1360,  1420,  1440,  1450,  1480,  1450
 189,  1040,  1440,  1470,  1350,  1380,  1460,  1480,  1330
 190,   990,  1430,  1350,  1440,  1430,  1460,  1490,  1450
 191,  1350,   990,  1440,  1350,  1410,  1460,  1160,  1450
 192,  1450,  1360,  1460,  1430,  1360,  1310,  1130,  1460
 193,  1350,  1370,  1470,  1470,  1410,  1440,  1490,  1350
 194,  1450,  1430,  1460,  1350,  1420,  1450,  1370,  1450
 195,  1350,  1360,  1450,  1430,  1410,  1440,  1470,  1430
 196,  1450,  1460,  1360,  1430,  1420,  1450,  1490,  1460
 197,  1360,  1010,  1470,  1440,  1420,  1460,  1490,  1050
 198,  1460,  1370,  1470,  1460,  1440,  1440,  1490,  1460
 199,  1450,  1450,  1430,  1440,  1310,  1450,  1490,  1110
 200,  1330,  1440,  1480,  1350,  1430,  1450,  1480,  1450
 201,  1450,  1360,  1460,  1430,  1310,  1470,  1490,  1440
 202,  1450,   990,  1350,  1470,  1420,  1440,  1480,  1040
 203,  1350,  1440,  1460,  1350,  1370,  1450,  1480,  1430
 204,  1450,  1450,  1470,  1350,  1420,  1420,  1140,  1030
 205,  1450,  1440,  1470,  1420,  1310,  1450,  1480,  1350
 206,  1470,  1450,  1360,  1460,  1430,  1450,  1490,  1460
 207,  1350,  1450,  1470,  1440,  1450,  1470,  1490,  1450
 208,  1450,  1370,  1350,  1450,  1290,  1450,  1480,  1450
 209,  1360,  1450,  1470,  1350,  1420,  1440,  1140,  1040
 210,  1450,   990,  1190,  1440,  1410,  1450,  1140,  1450
 211,  1450,  1370,  1450,  1440,  1440,  1170,  1490,  1350
 212,  1330,  1450,  1340,  1450,  1430,  1450,  1480,  1450
 213,  1450,  1460,  1450,  1440,  1310,  1190,  1220,  1450
 214,  1460,  1370,  1470,  1350,  1420,  1310,  1490,  1350
 215,  1360,  1450,  1350,  1440,  1440,  1460,  1490,  1450
 216,  1450,  1450,  1470,  1430,  1450,  1470,  1490,  1460
 217,  1360,  1450,  1350,  1450,  1430,  1450,  1480,  1330
 218,  1450,  1460,  1470,  1350,  1440,  1310,  1490,  1360
 219,  1450,  1440,  1470,  1470,  1430,  1460,  1490,   980
 220,  1390,  1380,  1360,  1470,  1450,  1440,  1490,  1460
 221,  1450,  1450,  1450,  1440,  1410,  1480,  1360,  1350
 222,  1440,  1450,  1470,  1450,  1350,  1230,  1490,  1460
 223,  1350,  1450,  1350,  1440,  1420,  1190,  1370,  1430
 224,  1450,  1450,  1470,  1440,  1460,  1460,  1500,  1460
 225,  1460,  1460,  1460,  1460,  1430,  1180,  1490,  1350
 226,  1390,  1370,  1470,  1350,  1430,  1430,  1490,  1450
 227,  1450,  1450,  1350,  1470,  1400,  1460,  1490,  1460
 228,  1440,  1450,  1120,  1450,  1440,  1310,  1370,  1340
 229,  1450,  1370,  1460,  1350,  1430,  1470,  1480,  1460
 230,  1450,  1440,  1360,  1430,  1430,  1450,  1490,  1100
 231,  1450,  1450,  1110,  1440,  1450,  1320,  1490,  1460
 232,  1450,  1430,  1470,  1350,  1370,  1430,  1480,  1440
 233,  1440,  1450,  1350,  1430,  1420,  1460,  1480,  1330
 234,  1080,  1440,  1460,  1350,  1440,  1310,  1160,  1430
 235,  1450,  1440,  1460,  1430,  1410,  1460,  1490,  1430
 236,  1450,  1450,  1460,  1450,  1440,  1310,  1480,  1460
 237,  1030,  1450,  1460,  1350,  1420,  1460,  1480,  1450
 238,  1460,  1370,  1470,  1460,  1370,  1470,  1490,  1450
 239,  1460,  1460,  1450,  1440,  1440,  1470,  1490,  1350
 240,  1030,  1460,  1470,  1440,  1460,  1310,  1380,  1420
 241,  1450,  1470,  1460,  1450,  1300,  1460,  1130,  1460
 242,  1450,  1370,  1350,  1350,  1470,  1470,  1480,  1340
 243,  1350,  1440,  1130,  1450,  1430,  1320,  1350,  1460
 244,  1460,  1380,  1470,  1450,  1360,  1460,  1490,  1450
 245,  1460,  1460,  1350,  1440,  1410,  1470,  1490,  1440
 246,  1330,  1460,  1480,  1350,  1450,  1310,  1370,  1020
 247,  1460,  1460,  1350,  1450,  1310,  1450,  1490,  1460
 248,  1330,  1370,  1470,  1440,  1430,  1310,  1490,  1340
 249,  1450,  1440,  1450,  1430,  1430,  1460,  1490,  1460
 250,  1400,  1450,  1470,  1460,  1450,  1470,  1490,  1460
 251,  1450,  1440,  1460,  1450,  1460,  1460,  1480,  1460
 252,  1330,  1370,  1470,  1350,  1360,  1440,  1380,  1450
 253,   890,   980,  1180,  1410,  1310,  1130,  1490,  1330
 254,   890,  1450,  1120,  1350,  1430,  1310,  1370,  1450
 255,  1460,  1370,  1350,  1430,  1310,  1460,  1480,  1350
