addr, bit0,  bit1,  bit2,  bit3,  bit4,  bit5,  bit6,  bit7
 211,  1420,  1370,  1430,  1440,  1440,  1230,  1440,  1510
 212,  1510,  1430,  1390,  1430,  1430,  1410,  1440,  1430
 213,  1420,  1430,  1430,  1440,  1380,  1300,  1270,  1420
 214,  1410,  1400,  1430,  1380,  1430,  1360,  1440,  1390
 215,  1390,  1430,  1410,  1440,  1420,  1410,  1440,  1430
 216,  1420,  1430,  1430,  1430,  1450,  1420,  1440,  1420
 217,  1400,  1430,  1390,  1470,  1420,  1410,  1450,  1540
 218,  1420,  1430,  1460,  1430,  1470,  1380,  1450,  1390
 219,  1420,  1430,  1430,  1450,  1430,  1420,  1450,  1200
 220,  1390,  1410,  1380,  1470,  1420,  1410,  1440,  1420
 221,  1420,  1430,  1430,  1430,  1430,  1420,  1400,  1500
 222,  1410,  1430,  1430,  1430,  1340,  1270,  1440,  1430
 223,  1400,  1430,  1400,  1440,  1430,  1270,  1400,  1420
 224,  1420,  1430,  1430,  1440,  1430,  1420,  1440,  1430
 225,  1420,  1420,  1430,  1430,  1430,  1310,  1440,  1400
 226,  1380,  1380,  1430,  1390,  1460,  1420,  1440,  1420
 227,  1420,  1440,  1400,  1440,  1430,  1410,  1440,  1430
 228,  1410,  1420,  1310,  1430,  1570,  1370,  1400,  1390
 229,  1420,  1380,  1430,  1380,  1430,  1410,  1440,  1500
 230,  1420,  1440,  1370,  1440,  1430,  1410,  1440,  1340
 231,  1430,  1420,  1310,  1440,  1430,  1380,  1440,  1440
 232,  1430,  1420,  1470,  1390,  1380,  1410,  1440,  1420
 233,  1410,  1430,  1420,  1440,  1430,  1410,  1440,  1480
 234,  1380,  1420,  1450,  1520,  1430,  1380,  1280,  1420
 235,  1410,  1420,  1430,  1440,  1470,  1410,  1440,  1420
 236,  1420,  1430,  1450,  1440,  1440,  1390,  1450,  1430
 237,  1280,  1430,  1440,  1400,  1440,  1410,  1440,  1580
 238,  1420,  1390,  1420,  1430,  1210,  1410,  1430,  1420
 239,  1420,  1430,  1430,  1430,  1410,  1410,  1440,  1410
 240,  1250,  1430,  1430,  1430,  1440,  1380,  1410,  1420
 241,  1430,  1440,  1440,  1440,  1380,  1420,  1250,  1420
 242,  1420,  1410,  1420,  1380,  1430,  1420,  1440,  1440
 243,  1420,  1430,  1330,  1440,  1430,  1380,  1400,  1420
 244,  1420,  1410,  1440,  1440,  1380,  1420,  1450,  1490
 245,  1430,  1430,  1400,  1450,  1430,  1420,  1450,  1430
 246,  1510,  1430,  1430,  1420,  1430,  1380,  1410,  1300
 247,  1420,  1420,  1410,  1440,  1400,  1410,  1440,  1490
 248,  1390,  1390,  1430,  1420,  1470,  1360,  1440,  1380
 249,  1420,  1430,  1440,  1440,  1430,  1420,  1440,  1430
 250,  1400,  1430,  1450,  1610,  1420,  1410,  1440,  1450
 251,  1410,  1430,  1440,  1430,  1430,  1410,  1430,  1510
 252,  1390,  1400,  1490,  1390,  1270,  1420,  1410,  1420
 253,  1330,  1370,  1420,  1440,  1400,  1390,  1440,  1580
 254,  1220,  1430,  1320,  1440,  1440,  1370,  1420,  1430
 255,  1430,  1380,  1390,  1440,  1400,  1420,  1440,  1480
